contactsaddressid,vanid,city_x,state_x,zip5,latitude_x,longitude_x,zip,city_y,state_y,latitude_y,longitude_y,timezone,daylight_savings_time_flag,geopoint
622435,100628948,Orlando,FL,32803,,,32803,Orlando,FL,28.557579,-81.35244,-5,1,"28.557579, -81.35244"
830737,100837250,Tempe,AZ,85282,,,85282,Tempe,AZ,33.394067,-111.92873,-7,0,"33.394067, -111.92873"
1865826,100548253,Smyrna,DE,19977,,,19977,Smyrna,DE,39.29799,-75.59391,-5,1,"39.29799, -75.59391"
2128577,102286318,Newark,DE,19711,,,19711,Newark,DE,39.700561,-75.7431,-5,1,"39.700561, -75.7431"
796001,100802514,Felton,PA,17322,,,17322,Felton,PA,39.848832,-76.55122,-5,1,"39.848832, -76.55122"
1863570,102033467,Houston,TX,77098,,,77098,Houston,TX,29.735529,-95.41405,-6,1,"29.735529, -95.41405"
917895,100924408,Greensboro,NC,27403,,,27403,Greensboro,NC,36.064485,-79.82206,-5,1,"36.064485, -79.82206"
747089,100753602,Kensington,MD,20895,,,20895,Kensington,MD,39.027259,-77.07745,-5,1,"39.027259, -77.07745"
860933,100867446,Winter Park,FL,32792,,,32792,Winter Park,FL,28.607077,-81.30606,-5,1,"28.607077, -81.30606"
2278830,101006462,Weimar,CA,95736,,,95736,Weimar,CA,39.01004,-120.97814,-8,1,"39.01004, -120.97814"
